user_id,conversion,revenue
1,FALSE,NA
2,FALSE,NA
3,FALSE,NA
4,FALSE,NA
5,FALSE,NA
6,FALSE,NA
7,TRUE,1470.046505304744
8,FALSE,NA
9,FALSE,NA
10,FALSE,NA
11,FALSE,NA
12,FALSE,NA
13,FALSE,NA
14,FALSE,NA
15,FALSE,NA
16,FALSE,NA
17,TRUE,1400.24695764648
18,FALSE,NA
19,FALSE,NA
20,FALSE,NA
21,FALSE,NA
22,FALSE,NA
23,FALSE,NA
24,FALSE,NA
25,FALSE,NA
26,FALSE,NA
27,FALSE,NA
28,FALSE,NA
29,FALSE,NA
30,FALSE,NA
31,TRUE,339.471614859594
32,FALSE,NA
33,FALSE,NA
34,TRUE,1306.609424865984
35,FALSE,NA
36,FALSE,NA
37,FALSE,NA
38,FALSE,NA
39,FALSE,NA
40,FALSE,NA
41,FALSE,NA
42,FALSE,NA
43,FALSE,NA
44,FALSE,NA
45,FALSE,NA
46,FALSE,NA
47,FALSE,NA
48,FALSE,NA
49,TRUE,1490.680597495773
50,FALSE,NA
51,FALSE,NA
52,FALSE,NA
53,FALSE,NA
54,FALSE,NA
55,FALSE,NA
56,FALSE,NA
57,FALSE,NA
58,FALSE,NA
59,FALSE,NA
60,FALSE,NA
61,FALSE,NA
62,FALSE,NA
63,FALSE,NA
64,FALSE,NA
65,FALSE,NA
66,FALSE,NA
67,FALSE,NA
68,FALSE,NA
69,FALSE,NA
70,FALSE,NA
71,FALSE,NA
72,FALSE,NA
73,FALSE,NA
74,FALSE,NA
75,FALSE,NA
76,FALSE,NA
77,FALSE,NA
78,FALSE,NA
79,FALSE,NA
80,FALSE,NA
81,FALSE,NA
82,FALSE,NA
83,FALSE,NA
84,FALSE,NA
85,FALSE,NA
86,TRUE,399.111026876721
87,FALSE,NA
88,FALSE,NA
89,FALSE,NA
90,FALSE,NA
91,FALSE,NA
92,FALSE,NA
93,FALSE,NA
94,FALSE,NA
95,FALSE,NA
96,FALSE,NA
97,FALSE,NA
98,FALSE,NA
99,FALSE,NA
100,FALSE,NA
101,FALSE,NA
102,FALSE,NA
103,FALSE,NA
104,FALSE,NA
105,FALSE,NA
106,FALSE,NA
107,FALSE,NA
108,FALSE,NA
109,TRUE,1461.295842056712
110,FALSE,NA
111,FALSE,NA
112,FALSE,NA
113,FALSE,NA
114,FALSE,NA
115,FALSE,NA
116,FALSE,NA
117,FALSE,NA
118,FALSE,NA
119,FALSE,NA
120,FALSE,NA
121,FALSE,NA
122,FALSE,NA
123,FALSE,NA
124,FALSE,NA
125,FALSE,NA
126,FALSE,NA
127,FALSE,NA
128,FALSE,NA
129,TRUE,1347.765237976431
130,FALSE,NA
131,FALSE,NA
132,FALSE,NA
133,FALSE,NA
134,FALSE,NA
135,FALSE,NA
136,FALSE,NA
137,FALSE,NA
138,FALSE,NA
139,FALSE,NA
140,FALSE,NA
141,FALSE,NA
142,FALSE,NA
143,FALSE,NA
144,FALSE,NA
145,FALSE,NA
146,FALSE,NA
147,FALSE,NA
148,FALSE,NA
149,FALSE,NA
150,FALSE,NA
151,FALSE,NA
152,FALSE,NA
153,FALSE,NA
154,FALSE,NA
155,FALSE,NA
156,FALSE,NA
157,FALSE,NA
158,FALSE,NA
159,FALSE,NA
160,FALSE,NA
161,FALSE,NA
162,FALSE,NA
163,FALSE,NA
164,FALSE,NA
165,FALSE,NA
166,FALSE,NA
167,FALSE,NA
168,FALSE,NA
169,FALSE,NA
170,FALSE,NA
171,FALSE,NA
172,FALSE,NA
173,TRUE,1025.3715401556449
174,FALSE,NA
175,FALSE,NA
176,FALSE,NA
177,FALSE,NA
178,FALSE,NA
179,TRUE,443.46231405880496
180,TRUE,1057.756356427965
181,FALSE,NA
182,TRUE,659.337071019741
183,FALSE,NA
184,FALSE,NA
185,FALSE,NA
186,FALSE,NA
187,FALSE,NA
188,FALSE,NA
189,FALSE,NA
190,FALSE,NA
191,FALSE,NA
192,FALSE,NA
193,FALSE,NA
194,FALSE,NA
195,FALSE,NA
196,FALSE,NA
197,FALSE,NA
198,FALSE,NA
199,FALSE,NA
200,FALSE,NA
201,FALSE,NA
202,FALSE,NA
203,FALSE,NA
204,FALSE,NA
205,FALSE,NA
206,FALSE,NA
207,FALSE,NA
208,FALSE,NA
209,FALSE,NA
210,FALSE,NA
211,FALSE,NA
212,FALSE,NA
213,FALSE,NA
214,FALSE,NA
215,FALSE,NA
216,FALSE,NA
217,FALSE,NA
218,FALSE,NA
219,FALSE,NA
220,TRUE,557.784984816294
221,FALSE,NA
222,FALSE,NA
223,FALSE,NA
224,FALSE,NA
225,FALSE,NA
226,FALSE,NA
227,FALSE,NA
228,FALSE,NA
229,FALSE,NA
230,FALSE,NA
231,FALSE,NA
232,FALSE,NA
233,FALSE,NA
234,FALSE,NA
235,FALSE,NA
236,FALSE,NA
237,FALSE,NA
238,FALSE,NA
239,TRUE,871.346569217433
240,FALSE,NA
241,FALSE,NA
242,FALSE,NA
243,FALSE,NA
244,FALSE,NA
245,FALSE,NA
246,FALSE,NA
247,FALSE,NA
248,FALSE,NA
249,FALSE,NA
250,FALSE,NA
