user_id,channel,timestamp
1,retention,2017-04-02
2,digital,2015-06-02
2,digital,2015-10-25
2,digital,2017-02-15
3,retention,2017-05-07
4,digital,2014-09-14
4,digital,2015-09-19
4,digital,2016-01-23
4,digital,2016-03-30
4,offline,2016-12-05
4,digital,2016-12-10
4,organic,2017-02-11
5,digital,2015-12-02
18228,digital,2015-12-02
5,retention,2017-05-20
18228,retention,2017-05-20
5,organic,2017-08-18
18228,organic,2017-08-18
6,digital,2015-06-04
6,digital,2017-08-03
7,digital,2014-08-27
15178,digital,2014-08-27
7,digital,2015-06-15
15178,digital,2015-06-15
7,digital,2015-11-11
15178,digital,2015-11-11
7,digital,2016-03-18
15178,digital,2016-03-18
7,digital,2016-06-19
15178,digital,2016-06-19
7,offline,2016-07-26
15178,offline,2016-07-26
7,digital,2016-08-09
15178,digital,2016-08-09
7,digital,2016-08-21
15178,digital,2016-08-21
7,offline,2016-09-26
15178,offline,2016-09-26
7,offline,2016-11-10
15178,offline,2016-11-10
7,organic,2016-11-25
15178,organic,2016-11-25
7,retention,2017-04-10
15178,retention,2017-04-10
7,offline,2017-05-14
15178,offline,2017-05-14
7,retention,2017-05-21
15178,retention,2017-05-21
8,offline,2017-04-30
21728,offline,2017-04-30
9,digital,2016-04-15
19785,digital,2016-04-15
9,offline,2016-11-28
19785,offline,2016-11-28
9,offline,2017-01-30
19785,offline,2017-01-30
9,retention,2017-06-30
19785,retention,2017-06-30
10,digital,2015-02-28
19279,digital,2015-02-28
10,digital,2016-06-30
19279,digital,2016-06-30
10,offline,2017-02-04
19279,offline,2017-02-04
10,offline,2017-06-30
19279,offline,2017-06-30
11,organic,2015-01-04
12,digital,2015-02-03
12,digital,2016-10-01
12,digital,2017-01-28
12,digital,2017-02-18
12,digital,2017-04-04
12,digital,2017-04-04
12,organic,2017-06-04
12,offline,2017-06-25
12,retention,2017-07-30
12,digital,2017-07-30
12,offline,2017-08-06
13,digital,2015-02-09
19597,digital,2015-02-09
13,digital,2017-01-09
19597,digital,2017-01-09
14,digital,2016-09-11
15,digital,2016-03-02
15,digital,2016-09-01
15,digital,2016-09-05
15,retention,2017-06-18
15,retention,2017-08-04
16,retention,2017-08-22
20360,retention,2017-08-22
17,digital,2016-07-26
